COD_ASSUNTO;JUST_ES_1GRAU;JUST_ES_2GRAU;JUST_ES_JUIZADO_ES;JUST_ES_TURMAS;JUST_ES_1GRAU_MIL;JUST_ES_2GRAU_MIL;JUST_ES_JUIZADO_ES_FP;JUST_TU_ES_UN;JUST_FED_1GRAU;JUST_FED_2GRAU;JUST_FED_JUIZADO_ES;JUST_FED_TURMAS;JUST_FED_NACIONAL;JUST_FED_REGIONAL;JUST_TRAB_1GRAU;JUST_TRAB_2GRAU;JUST_TRAB_TST;JUST_TRAB_CSJT;STF;STJ;CJF;CNJ;JUST_MIL_UNIAO_1GRAU;JUST_MIL_UNIAO_STM;JUST_MIL_EST_1GRAU;JUST_MIL_EST_TJM;JUST_ELEI_1GRAU;JUST_ELEI_2GRAU;JUST_ELEI_TSE
10467;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10468;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10469;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10470;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10480;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10481;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10482;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10483;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10484;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10485;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10486;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10487;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10488;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10489;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10490;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10491;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10492;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10493;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10494;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10495;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10496;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10497;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10499;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10500;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10501;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10502;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10503;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10504;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10505;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10508;S;S;S;S;S;S;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10509;S;S;S;N;S;S;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10512;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10514;N;N;S;N;S;S;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10515;N;N;S;N;S;S;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10516;N;N;S;N;S;S;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10523;N;N;S;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;S;S;S;S;S;S;S
10527;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10528;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10529;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10530;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10531;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10532;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10533;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10534;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10535;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10536;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10537;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10538;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10539;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10540;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10543;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10544;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10545;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10546;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10547;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10548;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10549;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10550;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10551;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10556;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10557;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10558;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10559;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10560;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10561;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10562;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10563;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10564;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10565;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10567;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10568;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10569;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10570;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10571;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10572;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;S;S;S
10573;N;S;N;N;N;N;N;N;N;S;N;N;N;N;N;S;S;N;S;S;N;N;N;N;N;N;N;N;N
10577;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10582;S;S;S;S;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10585;S;S;S;S;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10586;S;S;S;S;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10587;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10588;S;S;S;S;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10589;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;S;S;S
10590;S;S;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10591;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10592;S;S;S;S;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10593;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10595;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10596;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10598;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10599;N;S;N;S;N;N;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10600;N;S;N;S;N;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;S;N;S;N;N;N
10601;N;S;N;S;N;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;S;N;S;N;N;N
10602;N;S;N;S;N;N;N;N;N;S;N;S;N;N;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10603;N;S;N;S;N;N;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10604;S;S;S;S;S;S;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10605;S;S;S;S;N;N;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10606;S;S;S;S;S;S;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10607;S;S;S;S;S;S;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10608;S;S;S;S;S;S;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10609;S;S;S;S;S;S;S;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10610;S;S;S;S;S;S;N;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;N;N;N
10612;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10613;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10614;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
