12437;MOV_193_SENTENCA;Conhecimento para determinar sua autuação como Recurso Especial
12438;MOV_193_SENTENCA;conhecimento para dar parcial provimento ao recurso especial
12439;MOV_193_SENTENCA;conhecimento para conhecer em parte o recurso especial e dar provimento
12440;MOV_193_SENTENCA;conhecimento para conhecer em parte o recurso especial e negar provimento
12441;MOV_193_SENTENCA;Conhecimento para conhecer o recurso especial
12443;MOV_193_SENTENCA;conhecimento em parte para dar provimento ao recurso especial
12434;MOV_193_SENTENCA;Conhecimento para dar provimento ao Recurso Especial
12442;MOV_193_SENTENCA;conhecimento para conhecer em parte o recurso especial
12451;MOV_193_SENTENCA;Procedência
12453;MOV_193_SENTENCA;improcedência
12452;MOV_193_SENTENCA;procedência parcial
12328;MOV_193_SENTENCA;Respondida em parte
12327;MOV_193_SENTENCA;Respondida
450;MOV_193_SENTENCA;Segurança
451;MOV_193_SENTENCA;Habeas corpus
452;MOV_193_SENTENCA;Habeas data
453;MOV_193_SENTENCA;Mandado de injunção
12475;MOV_193_SENTENCA;Habeas Corpus de ofício
443;MOV_193_SENTENCA;Habeas corpus
12041;MOV_193_SENTENCA;Recuperação judicial
444;MOV_193_SENTENCA;Habeas data
445;MOV_193_SENTENCA;Mandado de injunção
10965;MOV_193_SENTENCA;Remissão a Adolescente Infrator
12032;MOV_193_SENTENCA;Exequatur
442;MOV_193_SENTENCA;Segurança
12670;MOV_193_SENTENCA;Procedência em Parte da Impugnação (Registro Cancelado)
12673;MOV_193_SENTENCA;Não-Procedência da Impugnação (Registro Deferido)
12674;MOV_193_SENTENCA;Não-Procedência da Impugnação (Registro Indeferido)
12676;MOV_193_SENTENCA;Não-Procedência da Impugnação (Registro Cassado)
12792;MOV_193_SENTENCA;Procedência da Impugnação (Registro Cassado)
12672;MOV_193_SENTENCA;Procedência em Parte da Impugnação (Registro Cassado)
12677;MOV_193_SENTENCA;Procedência da Impugnação (Registro Cancelado)
12669;MOV_193_SENTENCA;Procedência em Parte da Impugnação (Registro Indeferido)
12668;MOV_193_SENTENCA;Procedência em Parte da Impugnação (Registro Deferido)
12666;MOV_193_SENTENCA;Procedência da Impugnação (Registro Deferido)
12667;MOV_193_SENTENCA;Procedência da Impugnação (Registro Indeferido)
12675;MOV_193_SENTENCA;Não-Procedência da Impugnação (Registro Cancelado)
447;MOV_193_SENTENCA;Habeas corpus
446;MOV_193_SENTENCA;Segurança
448;MOV_193_SENTENCA;Habeas data
449;MOV_193_SENTENCA;Mandado de injunção
12028;MOV_193_SENTENCA;Cumprimento de transação penal
11879;MOV_193_SENTENCA;Decadência ou perempção
12616;MOV_193_SENTENCA;Composição Civil dos Danos
11878;MOV_193_SENTENCA;Prescrição
11801;MOV_193_SENTENCA;Reparação do dano
1050;MOV_193_SENTENCA;Cumprimento da Pena
1042;MOV_193_SENTENCA;Morte do agente
1046;MOV_193_SENTENCA;Renúncia do queixoso ou perdão aceito
1048;MOV_193_SENTENCA;Perdão judicial
12735;MOV_193_SENTENCA;Extinção de Punibilidade em Razão do Cumprimento de Acordo de Não Persecução Penal
1047;MOV_193_SENTENCA;Retratação do agente
1043;MOV_193_SENTENCA;Anistia, graça ou indulto
1044;MOV_193_SENTENCA;Retroatividade de lei
1045;MOV_193_SENTENCA;Prescrição, decadência ou perempção
1049;MOV_193_SENTENCA;Pagamento integral do débito
11411;MOV_193_SENTENCA;Cumprimento da suspensão condicional do processo
12693;MOV_193_SENTENCA;Não-Provimento (Registro Sem Julgamento)
12692;MOV_193_SENTENCA;Não-Provimento (Registro Cassado)
12694;MOV_193_SENTENCA;Acolhimento (Registro Deferido)
12681;MOV_193_SENTENCA;Provimento (Registro Cancelado)
12685;MOV_193_SENTENCA;Provimento em Parte (Registro Indeferido)
12691;MOV_193_SENTENCA;Não-Provimento (Registro Cancelado)
12680;MOV_193_SENTENCA;Provimento (Registro Indeferido)
12679;MOV_193_SENTENCA;Provimento (Registro Deferido)
12689;MOV_193_SENTENCA;Não-Provimento (Registro Deferido)
12690;MOV_193_SENTENCA;Não-Provimento (Registro Indeferido)
12682;MOV_193_SENTENCA;Provimento (Registro Cassado)
12699;MOV_193_SENTENCA;Não-Acolhimento (Registro Deferido)
12708;MOV_193_SENTENCA;Anulação de Acórdão (Registro Sem Julgamento)
12707;MOV_193_SENTENCA;Anulação de Acórdão (Registro Cassado)
12706;MOV_193_SENTENCA;Anulação de Acórdão (Registro Cancelado)
12705;MOV_193_SENTENCA;Anulação de Acórdão (Registro Indeferido)
12704;MOV_193_SENTENCA;Anulação de Acórdão (Registro Deferido)
12703;MOV_193_SENTENCA;Não-Acolhimento (Registro Sem Julgamento)
12702;MOV_193_SENTENCA;Não-Acolhimento (Registro Cassado)
12683;MOV_193_SENTENCA;Provimento (Registro Sem Julgamento)
12700;MOV_193_SENTENCA;Não-Acolhimento (Registro Indeferido)
12684;MOV_193_SENTENCA;Provimento em Parte (Registro Deferido)
12698;MOV_193_SENTENCA;Acolhimento (Registro Sem Julgamento)
12697;MOV_193_SENTENCA;Acolhimento (Registro Cassado)
12687;MOV_193_SENTENCA;Provimento em Parte (Registro Cassado)
12696;MOV_193_SENTENCA;Acolhimento (Registro Cancelado)
12695;MOV_193_SENTENCA;Acolhimento (Registro Indeferido)
12688;MOV_193_SENTENCA;Provimento em Parte (Registro Sem Julgamento)
12686;MOV_193_SENTENCA;Provimento em Parte (Registro Cancelado)
12701;MOV_193_SENTENCA;Não-Acolhimento (Registro Cancelado)
473;MOV_193_SENTENCA;Ausência do Reclamante
472;MOV_193_SENTENCA;Sumaríssimo (art. 852-B, § 1º/CLT)
12723;MOV_193_SENTENCA;Negação de Seguimento (Registro Cassado)
12716;MOV_193_SENTENCA;Não Conhecimento (Registro Indeferido)
12712;MOV_193_SENTENCA;Anulação de Acórdão (Registro Cancelado)
12713;MOV_193_SENTENCA;Anulação de Acórdão (Registro Cassado)
12714;MOV_193_SENTENCA;Anulação de Acórdão (Registro Sem Julgamento)
12718;MOV_193_SENTENCA;Não Conhecimento (Registro Cassado)
12710;MOV_193_SENTENCA;Anulação de Acórdão (Registro Deferido)
12711;MOV_193_SENTENCA;Anulação de Acórdao (Registro Indeferido)
12721;MOV_193_SENTENCA;Negação de Seguimento (Registro Indeferido)
12715;MOV_193_SENTENCA;Não Conhecimento (Registro Deferido)
12722;MOV_193_SENTENCA;Negação de Seguimento (Registro Cancelado)
12717;MOV_193_SENTENCA;Não Conhecimento (Registro Cancelado)
12724;MOV_193_SENTENCA;Negação de Seguimento (Registro Sem Julgamento)
12719;MOV_193_SENTENCA;Não Conhecimento (Registro Sem Julgamento)
12720;MOV_193_SENTENCA;Negação de Seguimento (Registro Deferido)
12617;MOV_193_SENTENCA;Renúncia
463;MOV_193_SENTENCA;Desistência
461;MOV_193_SENTENCA;Ausência das condições da ação
460;MOV_193_SENTENCA;Perempção, litispendência ou coisa julgada
459;MOV_193_SENTENCA;Ausência de pressupostos processuais
458;MOV_193_SENTENCA;Abandono da causa
