COD_CLASSE;JUST_ES_1GRAU;JUST_ES_2GRAU;JUST_ES_JUIZADO_ES;JUST_ES_TURMAS;JUST_ES_1GRAU_MIL;JUST_ES_2GRAU_MIL;JUST_ES_JUIZADO_ES_FP;JUST_TU_ES_UN;JUST_FED_1GRAU;JUST_FED_2GRAU;JUST_FED_JUIZADO_ES;JUST_FED_TURMAS;JUST_FED_NACIONAL;JUST_FED_REGIONAL;JUST_TRAB_1GRAU;JUST_TRAB_2GRAU;JUST_TRAB_TST;JUST_TRAB_CSJT;STF;STJ;CJF;CNJ;JUST_MIL_UNIAO_1GRAU;JUST_MIL_UNIAO_STM;JUST_MIL_EST_1GRAU;JUST_MIL_EST_TJM;JUST_ELEI_1GRAU;JUST_ELEI_2GRAU;JUST_ELEI_TSE
10974;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
10975;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
10976;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
10977;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
10979;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
10980;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;S;N
10981;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N
110;S;S;N;N;S;S;N;N;S;S;N;N;N;N;S;S;S;N;N;N;N;N;S;S;S;S;S;S;S
11026;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11027;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N
11028;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11029;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11030;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11031;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11032;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11033;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11034;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11035;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11036;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N
11037;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;S;N;N;N
11038;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11039;N;N;N;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11040;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11041;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;S;N;N;N
11042;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N
11043;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
11044;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N
11045;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;S;N;N;N
11046;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;S;N;N;N;N
1106;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N
1107;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N
11099;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
111;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1111;S;S;S;S;N;N;S;N;S;S;S;S;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N
1112;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1114;S;S;N;N;S;S;S;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N
1116;S;N;N;N;N;N;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;S;S;S
1117;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
12559;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S
12560;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N
12561;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N
12562;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N
12613;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1262;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;S;S;N;N;N;N;S;S;S;S;S;N;N;N
12625;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S
12626;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S
12627;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S
12628;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N
12629;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S
